제목,평점,가격
모아나 (더빙판),4.4,5500
씽,4.8,4500
주토피아 (더빙판),4.6,5500
미니언즈 (더빙판),4.5,4500
겨울왕국 (더빙판),4.3,5500
슈퍼배드 (더빙판),4.4,4500
마틸다,4.8,4000
라푼젤 (더빙판),4.3,5500
빅 히어로 (더빙판),4.6,5500
미녀와 야수 (더빙판),4.6,5500
찰리와 초콜릿 공장,4.6,4500
